iter	Passed	Remaining
400	20089	4959
401	20140	4909
402	20186	4858
403	20230	4807
404	20273	4755
405	20318	4704
406	20365	4653
407	20409	4602
408	20454	4551
409	20499	4499
410	20544	4448
411	20587	4397
412	20634	4346
413	20677	4295
414	20725	4244
415	20771	4194
416	20817	4143
417	20863	4092
418	20910	4042
419	20956	3991
420	21003	3941
421	21054	3891
422	21107	3842
423	21168	3794
424	21221	3744
425	21273	3695
426	21314	3643
427	21362	3593
428	21412	3543
429	21472	3495
430	21536	3447
431	21595	3399
432	21650	3350
433	21709	3301
434	21759	3251
435	21808	3201
436	21855	3150
437	21904	3100
438	21950	3050
439	22003	3000
440	22047	2949
441	22094	2899
442	22143	2849
443	22187	2798
444	22231	2747
445	22276	2697
446	22323	2646
447	22366	2596
448	22409	2545
449	22453	2494
450	22498	2444
451	22543	2393
452	22588	2343
453	22633	2293
454	22678	2242
455	22729	2193
456	22778	2143
457	22824	2093
458	22867	2042
459	22910	1992
460	22957	1942
461	23002	1891
462	23046	1841
463	23089	1791
464	23136	1741
465	23183	1691
466	23227	1641
467	23270	1591
468	23313	1540
469	23357	1490
470	23398	1440
471	23442	1390
472	23484	1340
473	23524	1290
474	23566	1240
475	23614	1190
476	23662	1140
477	23711	1091
478	23750	1041
479	23797	991
480	23841	941
481	23887	892
482	23928	842
483	23976	792
484	24028	743
485	24079	693
486	24130	644
487	24176	594
488	24225	544
489	24270	495
490	24320	445
491	24377	396
492	24441	347
493	24506	297
494	24560	248
495	24603	198
496	24645	148
497	24698	99
498	24772	49
499	24835	0
