iter	Logloss
0	0.6669318552
1	0.6525693592
2	0.6378381466
3	0.6138150236
4	0.601955923
5	0.5860715193
6	0.5734278164
7	0.554021135
8	0.5484351898
9	0.5307643573
10	0.5231480566
11	0.5081376492
12	0.5023594291
13	0.4896731224
14	0.4824931647
15	0.4774702226
16	0.4727974418
17	0.4670912219
18	0.4590260244
19	0.4506238041
20	0.4446625515
21	0.441970934
22	0.4324884032
23	0.4274427466
24	0.4236798651
25	0.4180681383
26	0.4156823701
27	0.4133272142
28	0.4098550708
29	0.4045635441
30	0.3991369958
31	0.3966499691
32	0.3876934232
33	0.3845044913
34	0.3779266273
35	0.3751057766
36	0.3709278264
37	0.3681839395
38	0.3650136563
39	0.3624686651
40	0.3598985053
41	0.3566323086
42	0.3535296342
43	0.3515324387
44	0.3473929336
45	0.3446274039
46	0.3392297708
47	0.3359821836
48	0.3343282019
49	0.3317907996
50	0.3292429778
51	0.3270108816
52	0.3236374679
53	0.3226241229
54	0.3209191297
55	0.3199598605
56	0.3138846517
57	0.3130855299
58	0.3122137198
59	0.3115698111
60	0.3064951089
61	0.305710774
62	0.3009510058
63	0.3003444764
64	0.2986028594
65	0.2949033215
66	0.292998709
67	0.2922299702
68	0.2893995774
69	0.2874608107
70	0.2862984135
71	0.2842946306
72	0.2829036319
73	0.2804291144
74	0.277437615
75	0.2756574344
76	0.2747453446
77	0.2743808561
78	0.2715237688
79	0.2704043439
80	0.2694248617
81	0.2687949396
82	0.2679951244
83	0.2667294306
84	0.2654005317
85	0.2645185283
86	0.2625603927
87	0.261423028
88	0.2604823105
89	0.2601793785
90	0.258729256
91	0.2579484512
92	0.2575324058
93	0.2556316486
94	0.2541915656
95	0.2524312054
96	0.250534684
97	0.2476681735
98	0.2464284547
99	0.2454018617
100	0.2442774255
101	0.2427076257
102	0.2415549406
103	0.2406941139
104	0.240461327
105	0.2377244886
106	0.2366105468
107	0.2345152478
108	0.2335287736
109	0.2319688268
110	0.2304476775
111	0.2297645286
112	0.2288222248
113	0.2266520901
114	0.2246663247
115	0.223271554
116	0.2212859711
117	0.2192382088
118	0.2170872122
119	0.2166668372
120	0.2162993206
121	0.215614081
122	0.2146090998
123	0.2138753747
124	0.2136639775
125	0.2123098171
126	0.2114486361
127	0.2108826638
128	0.2087319154
129	0.2077910431
130	0.2072761153
131	0.2057302332
132	0.2049299241
133	0.2040713839
134	0.2037795799
135	0.2033015745
136	0.2020405995
137	0.2010682561
138	0.2006202378
139	0.198193971
140	0.197488133
141	0.195137822
142	0.1940831293
143	0.1937760665
144	0.1926246006
145	0.1910153386
146	0.189799302
147	0.1895344498
148	0.1889817898
149	0.1884782002
150	0.1881097155
151	0.1866323169
152	0.1858231309
153	0.1855871939
154	0.18533695
155	0.1842410383
156	0.1838415317
157	0.1832218537
158	0.1820997949
159	0.1808079309
160	0.1796163895
161	0.1774250264
162	0.1753685439
163	0.1736647402
164	0.1735570075
165	0.1728670029
166	0.1721562062
167	0.1698402862
168	0.1693600717
169	0.1677275234
170	0.1673605508
171	0.1656152585
172	0.1649652393
173	0.1641118296
174	0.1625699527
175	0.1620528707
176	0.159850334
177	0.1591749187
178	0.158047028
179	0.157867385
180	0.1551422176
181	0.1533849734
182	0.1529090827
183	0.1522929303
184	0.1508618585
185	0.1490981837
186	0.1479227427
187	0.1475278446
188	0.145764649
189	0.145066223
190	0.1432749422
191	0.1424578226
192	0.1412155291
193	0.1386057312
194	0.1384561426
195	0.1375881013
196	0.136364133
197	0.135536664
198	0.134495662
199	0.1327721615
200	0.13145152
201	0.1301454739
202	0.1292215742
203	0.1282901338
204	0.1270693528
205	0.1261072666
206	0.1254324662
207	0.1245784805
208	0.1232524376
209	0.1224132198
210	0.120804471
211	0.1201545555
212	0.118785902
213	0.1181266455
214	0.1168833883
215	0.1163576988
216	0.1158570989
217	0.114912078
218	0.1136087717
219	0.1129597632
220	0.1122236108
221	0.1108158833
222	0.1099597568
223	0.1090555757
224	0.1078664898
225	0.1072268706
226	0.1065493422
227	0.1053700934
228	0.1048732868
229	0.1044231427
230	0.1035844692
231	0.1026360148
232	0.1015942069
233	0.1004802347
234	0.09973369821
235	0.09877133759
236	0.09778204328
237	0.09716324736
238	0.09625685458
239	0.09562848189
240	0.09476882961
241	0.09391138543
242	0.09287009066
243	0.09229043228
244	0.09157339641
245	0.09086769031
246	0.08985618161
247	0.08917478912
248	0.08860458711
249	0.0878899228
250	0.087148635
251	0.08625571937
252	0.08550595289
253	0.08498577707
254	0.08432689902
255	0.08344379258
256	0.08273911174
257	0.08215064419
258	0.0814343072
259	0.08077613539
260	0.0800840705
261	0.07947806214
262	0.0786104265
263	0.07785970607
264	0.07729447121
265	0.07663370853
266	0.0762697819
267	0.07572467633
268	0.0750624913
269	0.07411662425
270	0.07348275633
271	0.07322583136
272	0.07255117431
273	0.07188862431
274	0.07139537355
275	0.07105409338
276	0.07055706288
277	0.07012355532
278	0.06963141071
279	0.06889446787
280	0.06840989741
281	0.06815597831
282	0.06766551782
283	0.0669772828
284	0.06668201934
285	0.0660004107
286	0.06547810435
287	0.06485836741
288	0.06441239188
289	0.06406318048
290	0.06349475707
291	0.06322241767
292	0.06273470278
293	0.06249149938
294	0.06208512782
295	0.06163297333
296	0.06136100352
297	0.06105801172
298	0.0606505212
299	0.06033155884
300	0.05963074553
301	0.05936224217
302	0.05901269151
303	0.05872573888
304	0.05849749932
305	0.05812492153
306	0.05769637387
307	0.05731693668
308	0.05697656008
309	0.05673365898
310	0.05634848259
311	0.05594998004
312	0.05566089809
313	0.05539713842
314	0.05508033139
315	0.05472697783
316	0.05422665311
317	0.05395548003
318	0.05374624619
319	0.05346219466
320	0.05296804912
321	0.05277239248
322	0.05257949834
323	0.05243137369
324	0.05200277147
325	0.05175229126
326	0.05145395242
327	0.05117058162
328	0.05094034049
329	0.05061322176
330	0.0502189038
331	0.05006209998
332	0.04967717827
333	0.04939588501
334	0.04891094957
335	0.04859060097
336	0.04832693629
337	0.04806596964
338	0.04771505287
339	0.04741799609
340	0.04710201868
341	0.04687812169
342	0.04675405046
343	0.04650338607
344	0.0462577229
345	0.04589103724
346	0.04557109431
347	0.04542122323
348	0.04527291577
349	0.04511860355
350	0.04495693787
351	0.044659608
352	0.04436566059
353	0.04411134365
354	0.04385662902
355	0.0433658809
356	0.04314059766
357	0.04299348488
358	0.04280256667
359	0.04257795642
360	0.04235517541
361	0.04199218252
362	0.04171558379
363	0.04157911251
364	0.04125477674
365	0.04093549364
366	0.04071776775
367	0.04051926449
368	0.04024997497
369	0.03990337046
370	0.03964734739
371	0.03952616123
372	0.03942303797
373	0.03924536423
374	0.03906123959
375	0.03885216922
376	0.03856085599
377	0.03843970781
378	0.03812372606
379	0.03784408912
380	0.03773706221
381	0.03756912503
382	0.03740115591
383	0.03719879417
384	0.03700649295
385	0.03678849528
386	0.03666585659
387	0.03641404223
388	0.03628468379
389	0.03614082067
390	0.0360097294
391	0.03588804737
